WKT,full_id,osm_id,osm_type,golf,natural,type,surface,highway,golf_cart,bicycle,ref,par,layer,path
"MULTIPOLYGON (((-76.5818943 39.3196227,-76.5818788 39.3196093,-76.581873 39.3195524,-76.5818769 39.3195044,-76.5819098 39.319449,-76.581931 39.319455,-76.5819078 39.3195104,-76.5819001 39.3195883,-76.5818943 39.3196227)))",w1035396267,"1035396267",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5820859 39.3211529,-76.582082 39.3211768,-76.5820955 39.3211918,-76.5821226 39.3211858,-76.5821226 39.3211634,-76.5820859 39.3211529)))",w1035398153,"1035398153",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5816504 39.3211274,-76.5816117 39.3211663,-76.581602 39.3212083,-76.5816214 39.3212292,-76.5816543 39.3212217,-76.5816698 39.3211783,-76.5816756 39.3211454,-76.5816504 39.3211274)))",w1035398154,"1035398154",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5845702 39.321535,-76.5845451 39.321511,-76.5845102 39.3214946,-76.5844812 39.3215021,-76.5844909 39.3215305,-76.5845199 39.321553,-76.5845606 39.321556,-76.5845702 39.321535)))",w1035400114,"1035400114",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5846225 39.321508,-76.5846031 39.3215125,-76.5845877 39.321532,-76.5846051 39.32155,-76.5846322 39.321535,-76.5846225 39.321508)))",w1035400115,"1035400115",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5846186 39.3214856,-76.5845644 39.3214856,-76.5845702 39.3214616,-76.5845954 39.3214601,-76.5846225 39.3214661,-76.5846186 39.3214856)))",w1035400116,"1035400116",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5849767 39.322336,-76.5849515 39.3223465,-76.5849534 39.3223704,-76.5849805 39.3223749,-76.5849921 39.3223554,-76.5849767 39.322336)))",w1035400118,"1035400118",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5845064 39.3238128,-76.5844576 39.3238241,-76.5844259 39.3238543,-76.5844381 39.3238845,-76.5844869 39.3238599,-76.5845064 39.3238128)))",w1035402097,"1035402097",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5843284 39.3239882,-76.5842894 39.3240165,-76.5842845 39.3240504,-76.584304 39.324075,-76.5843309 39.3240523,-76.584343 39.3240146,-76.5843284 39.3239882)))",w1035402098,"1035402098",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5845064 39.3239373,-76.5844772 39.3239542,-76.5844552 39.3239901,-76.5844601 39.3240184,-76.5844845 39.3240222,-76.5845089 39.323992,-76.584521 39.3239618,-76.5845064 39.3239373)))",w1035402099,"1035402099",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5842894 39.3249917,-76.584226 39.3248766,-76.584165 39.3248408,-76.5841894 39.3248219,-76.5842601 39.3248672,-76.5843138 39.3249766,-76.5842894 39.3249917)))",w1035402101,"1035402101",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5842382 39.3250464,-76.5841114 39.3250917,-76.5840943 39.3251105,-76.5840968 39.3251313,-76.5841212 39.3251407,-76.5841675 39.3251294,-76.5842358 39.3251049,-76.5842626 39.325086,-76.5842723 39.3250615,-76.5842382 39.3250464)))",w1035402102,"1035402102",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5866635 39.321777,-76.5866306 39.321753,-76.5866326 39.3217051,-76.5866481 39.3216722,-76.5866693 39.3216602,-76.5866887 39.3216737,-76.5866984 39.3217081,-76.5866887 39.32175,-76.5866635 39.321777)))",w1035403718,"1035403718",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5867216 39.3216407,-76.586681 39.3216318,-76.5866481 39.3216123,-76.5866345 39.3215928,-76.5866403 39.3215689,-76.5866616 39.3215509,-76.5866829 39.3215569,-76.5867003 39.3215809,-76.5867313 39.3215644,-76.5867564 39.3215704,-76.5867622 39.3215988,-76.5867545 39.3216258,-76.5867216 39.3216407)))",w1035403719,"1035403719",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5869538 39.3218219,-76.5869403 39.3217964,-76.586948 39.321762,-76.5869674 39.3217411,-76.5869809 39.3217126,-76.5869964 39.3216887,-76.5870042 39.3216692,-76.5870448 39.3216797,-76.5870506 39.3217126,-76.5870525 39.32175,-76.5870409 39.321786,-76.5870351 39.3218144,-76.5870158 39.3218354,-76.5869829 39.3218369,-76.5869538 39.3218219)))",w1035403720,"1035403720",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5828592 39.3242548,-76.5828709 39.3242493,-76.5828753 39.3242449,-76.5828763 39.32424,-76.5828746 39.3242296,-76.5828649 39.3242156,-76.5828407 39.324191,-76.5828286 39.3241858,-76.5828223 39.3241863,-76.5828162 39.3241894,-76.5828075 39.3241977,-76.5828109 39.3242187,-76.5828394 39.3242514,-76.5828454 39.3242545,-76.5828525 39.3242556,-76.5828592 39.3242548)))",w949383968,"949383968",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
"MULTIPOLYGON (((-76.5782616 39.3231301,-76.5782999 39.3231161,-76.5783113 39.3231093,-76.578318 39.3231,-76.5783166 39.3230901,-76.5783079 39.3230813,-76.5782952 39.3230772,-76.5782683 39.3230798,-76.5782556 39.3230829,-76.5782361 39.3230964,-76.5782154 39.3231244,-76.5782214 39.3231342,-76.5782348 39.3231384,-76.5782616 39.3231301)))",w987380163,"987380163",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
"MULTIPOLYGON (((-76.5784079 39.3234373,-76.5784245 39.3234288,-76.5784288 39.3234222,-76.5784254 39.3234083,-76.5784141 39.3233969,-76.5783771 39.3233918,-76.578342 39.3234006,-76.5783287 39.3234109,-76.5783287 39.3234255,-76.5783406 39.3234376,-76.5783776 39.3234434,-76.5784079 39.3234373)))",w987380164,"987380164",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
"MULTIPOLYGON (((-76.583388 39.3264999,-76.5833967 39.3264934,-76.5833971 39.3264839,-76.583388 39.3264698,-76.5833709 39.3264587,-76.5833407 39.3264457,-76.5833149 39.3264416,-76.5833079 39.3264452,-76.5833025 39.3264525,-76.5833049 39.3264587,-76.5833139 39.3264768,-76.5833313 39.3264929,-76.5833494 39.3265002,-76.5833615 39.3265023,-76.5833756 39.3265015,-76.583388 39.3264999)))",w987528869,"987528869",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
"MULTIPOLYGON (((-76.5834705 39.3265811,-76.5834728 39.3265723,-76.5834648 39.3265593,-76.5834507 39.3265422,-76.5834393 39.3265292,-76.5834343 39.326529,-76.5834222 39.3265331,-76.5834205 39.3265388,-76.5834249 39.3265471,-76.5834406 39.3265767,-76.583448 39.3265845,-76.5834561 39.3265863,-76.5834705 39.3265811)))",w987528870,"987528870",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
"MULTIPOLYGON (((-76.5832757 39.326745,-76.5832713 39.3267507,-76.5832696 39.3267595,-76.5832683 39.3267663,-76.5832737 39.3267678,-76.5832864 39.326764,-76.5833256 39.326745,-76.5833618 39.3267227,-76.583386 39.3267043,-76.5834108 39.3266825,-76.5834289 39.3266589,-76.5834339 39.3266514,-76.5834276 39.3266501,-76.5834222 39.3266465,-76.5834138 39.3266454,-76.5834054 39.3266478,-76.5833887 39.326669,-76.5833578 39.3267004,-76.5833327 39.3267191,-76.5833008 39.3267321,-76.5832857 39.3267409,-76.5832757 39.326745)))",w987528871,"987528871",way,bunker,,,sand,,,,,,Polygons,"MultiPolygon?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=surface:string(0,0)&field=highway:string(0,0)&field=golf_cart:string(0,0)&field=bicycle:string(0,0)&field=ref:string(0,0)&field=par:string(0,0)&uid={91135df8-be87-4f73-8b35-cef2c7262328}"
